tag_node,vehicle_type,fuel_type,garage_state,region,ownership,fsr_node,exp_node,lob_node
TAG-4128,Md Pickup,Diesel,OK,AC,leased,NA,ORG-464,LOB-5
TAG-3077,Md Pickup,Diesel,OK,AC,leased,FSR-40,ORG-464,LOB-5
TAG-2949,Hd,Biodiesel B20,OK,AC,leased,FSR-40,ORG-475,LOB-5
TAG-983,Ld Suv 4X4,Gasoline,AK,AL,owned,NA,ORG-593,LOB-5
TAG-1356,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-103,LOB-5
TAG-3794,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-493,LOB-5
TAG-2474,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-504,LOB-5
TAG-2206,Ld Suv 4X4,Gasoline,AK,AL,owned,NA,ORG-103,LOB-5
TAG-2959,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-249,LOB-5
TAG-796,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-494,LOB-5
TAG-2863,Md Pickup,Gasoline,AK,AL,owned,NA,ORG-103,LOB-5
TAG-1269,Ld Suv 4X4,Gasoline,AK,AL,owned,NA,ORG-103,LOB-5
TAG-644,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-399,LOB-5
TAG-1447,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-399,LOB-5
TAG-69,Ld Suv 4X4,Gasoline,AK,AL,owned,NA,ORG-72,LOB-5
TAG-4328,Md Pickup,Gasoline,AK,AL,owned,NA,ORG-493,LOB-5
TAG-2371,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-211,LOB-5
TAG-321,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-494,LOB-5
TAG-1840,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-493,LOB-5
TAG-3895,Ld Suv 4X4,Gasoline,AK,AL,owned,NA,ORG-494,LOB-5
TAG-704,Ld Suv 4X4,Gasoline,AK,AL,owned,NA,ORG-494,LOB-5
TAG-3790,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-493,LOB-5
TAG-2805,Md Pickup,Gasoline,AK,AL,owned,NA,ORG-196,LOB-5
TAG-803,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-103,LOB-5
TAG-850,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-494,LOB-5
TAG-3980,Ld Suv 4X4,Gasoline,AK,AL,owned,NA,ORG-103,LOB-5
TAG-4410,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-528,LOB-5
TAG-3927,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-596,LOB-5
